DID,TS,SID,FID,VR,VY,VB,AVG_VLN,VRY,VYB,VBR,AVG_VLL,IR,IY,IB,AVG_I,R_PF,Y_PF,B_PF,AVG_PF,FREQUENCY,R_KW,Y_KW,B_KW,TOTAL_KW,R_KVA,Y_KVA,B_KVA,TOTAL_KVA,R_KVAR,Y_KVAR,B_KVAR,TOTAL_KVAR,R_THD_V,Y_THD_V,B_THD_V,R_THD_I,Y_THD_I,B_THD_I,RSSI,KWH,KVAH,KVARH
E_AA_Z_B_X_P0005_D4,9/20/2025 6:00,17,V1.0,187.0979,240.6795028,223.5001343,247.2424869,385.5034577,385.1591643,479.9273279,422.5451269,100.2863126,103.5194181,92.28432465,108.0045692,0.381306702,0.817756656,0.879121521,0.883360524,51.64126952,8.416486314,27.69331364,7.12823527,55.81316839,15.03517816,21.8912074,28.90774773,86.88140079,1.064038265,15.68277557,15.08139877,41.06654414,11.96652668,5.515888848,0.555631017,0.753851101,12.26073438,3.552902834,-87.92358563,0,0,0
E_AA_Z_B_X_P0005_D4,9/20/2025 6:00,17,V1.0,263.2708721,178.1072906,216.4900744,169.4900622,477.2149734,493.9938475,429.6575178,429.260332,106.0613272,105.1825673,92.07752334,103.2112983,0.863495484,0.847098327,0.941704683,0.882387908,50.37366441,7.076133728,18.53566087,22.25271159,36.03446141,24.69033693,11.78142958,24.13923141,7.060361465,9.587003562,6.95178162,18.88924196,19.49188809,9.124140187,2.149705034,9.98175242,12.7921168,5.197432855,0.798410796,-32.79067345,0.100095726,0.019612115,0.054144134
E_AA_Z_B_X_P0005_D4,9/20/2025 6:00,17,V1.0,252.4212561,254.6507709,255.6915147,220.7301267,411.6086703,433.7620935,350.1050629,409.6008031,37.59283808,93.69708516,94.51306124,118.5842039,0.871900928,0.986421082,0.999927307,0.870466839,49.82712733,9.036129582,18.3613308,27.80967375,24.62824241,21.06416087,17.45881108,24.37978375,80.57431886,15.10976387,10.73798546,2.658758314,26.5267768,6.989585501,0.00415304,6.504291223,0.237918016,6.056084271,9.912589213,-75.20762878,0.168507511,0.243429668,0.127829625
E_AA_Z_B_X_P0005_D4,9/20/2025 6:00,17,V1.0,256.0146833,257.2193972,246.3315677,227.4366912,417.3324175,440.9701648,415.721592,420.4267216,108.6064706,38.28573861,107.2901968,90.03921909,0.910295071,0.873492262,0.999838363,0.891275737,50.42687536,5.854020408,2.299403133,11.60506401,56.86507759,16.92908769,10.91103114,26.79807051,99.43563463,9.617149902,4.678312746,6.628925466,3.940626453,7.078836719,0.35492014,7.083662094,14.3898371,27.50705517,3.59535277,-55.34646749,0.326466059,0.519639764,0.138775809
E_AA_Z_B_X_P0005_D4,9/20/2025 6:00,17,V1.0,247.7416491,284.6106318,226.9686251,258.534442,439.4006952,395.6624892,395.3351795,401.0320267,107.2695165,16.18239633,97.93350195,96.77105227,0.525554566,0.912308416,0.935968282,0.869851104,49.84490178,11.72971061,0.123842886,17.02948861,32.53725364,14.10709953,10.60462863,22.54091384,34.21362016,14.99698652,2.490343087,18.0480033,15.58367394,3.565590448,3.827022489,11.18953706,0.126988699,18.90119374,7.913107401,-85.13347305,0.41684732,0.614677598,0.182063792
E_AA_Z_B_X_P0005_D4,9/20/2025 6:00,17,V1.0,226.581353,260.338423,205.2080336,244.4268897,424.6184138,438.0128043,419.0698773,332.3724233,107.6240719,94.90673665,106.5286764,98.979059,0.890469102,0.912193153,0.814366157,0.880317592,50.16581922,10.30187877,13.63119977,19.38492544,40.46648204,24.33033103,18.42758465,30.94235425,69.2231756,3.200131593,7.310541349,15.72044029,36.63025651,0.292714309,2.504237798,5.626263249,9.444117144,7.044295223,0.10776634,-48.21565342,0.529254214,0.806964196,0.283814505
E_AA_Z_B_X_P0005_D4,9/20/2025 6:01,17,V1.0,214.5402241,294.6873583,207.7690663,247.0652424,420.7053701,395.9933399,484.0486628,401.7972155,109.8167031,75.19953254,109.243745,95.5533433,0.512682999,0.837839157,0.879810511,0.999007964,49.94726783,25.34276197,23.46940679,24.15906214,11.65516899,23.9655292,11.65722633,8.463645683,36.41769184,16.92401113,10.90570594,14.63983696,49.03033692,3.819218709,2.850373153,4.15392154,3.087794373,15.33358382,3.422810569,-78.64144794,0.561629684,0.908124452,0.420009885
E_AA_Z_B_X_P0005_D4,9/20/2025 6:01,17,V1.0,247.0093383,259.4021651,214.8937353,280.1031043,424.0237706,295.0247885,392.1742392,416.7213963,91.82524372,97.30202314,16.37580863,98.05838368,0.967356977,0.837064125,0.954154714,0.917479279,50.682568,24.65599608,9.485973287,26.68056557,58.80226698,0.995662756,23.01629138,5.551745608,57.99526401,1.439629682,2.562741528,3.944486483,25.89022849,4.784896817,13.64786864,0.188547578,15.36418612,16.82222993,9.678249527,-60.16082667,0.724969314,1.069222407,0.491927187
E_AA_Z_B_X_P0005_D4,9/20/2025 6:01,17,V1.0,244.2514707,223.0570996,283.8040923,190.2304767,437.9421382,443.9807681,417.5033872,423.4631772,94.31504598,106.6312239,91.93101113,101.7509156,0.834393091,0.840924239,0.912310968,0.917904757,50.89882658,13.04711036,8.152201419,15.51453127,50.32837365,19.68669651,10.12697971,15.30892062,42.03953778,7.130199719,14.87398558,13.60011584,71.69131542,0.930549709,13.92101026,7.476591724,12.80507413,21.52505245,1.574995565,-54.13473982,0.864770352,1.185998901,0.69106973
E_AA_Z_B_X_P0005_D4,9/20/2025 6:01,17,V1.0,241.9193237,237.0350201,286.7925317,222.6215069,280.1392228,442.1436372,318.770118,420.4006321,95.28921046,132.4151293,99.92819953,92.24142346,0.477306418,0.903757721,0.941930927,0.957841252,49.58176781,10.61026993,13.8305432,14.02959927,5.569618233,5.337400581,5.515384532,24.65875326,88.32877126,29.30760166,1.404276461,5.588690789,2.219110337,5.551466492,2.200728676,5.53140635,9.366524028,25.66420399,7.593051247,-77.84321744,0.880241514,1.431356599,0.697233925
